Isolate ID,Sample ID,Genus,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,SRA Run Accession,WGS Acession,Phylogroup,State,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
L7-0385,NY-BM-5,Listeria,L. booriae,S5033,24,3466236,42.06,376537,159.43,PRJNA561882,SRR11344107,JAARWY000000000,L12,NY,42.3977,-76.535,255.49,0.6098,0.4748,7.3709,6.632,10.2862,4.553,3763.0783,0.0008,1.4932,279.4854,400.7427,23.8498,0.0215,46.0949,11.9597,14.0747,1.1542,130.8,1.1739,-6.6552,4.378,1.5311,7.0832,5.1527,0.1364,49.8099,1.1604,0.3247,28.0572,3.5842,3.1602
L7-0387,TX-CB-2,Listeria,L. welshimeri,219,13,2761935,36.32,524445,212.874,PRJNA561882,SRR11344106,JAARWX000000000,L8,TX,34.1018,-99.7583,442.44,0.2023,0.1168,1.8934,6.789,2.5734,8.3837,1626.5114,-0.0044,0.613,215.3359,262.2104,12.1187,0.018,25.6533,3.7338,5.9633,0.4018,14.325,11.5948,-0.2045,3.6619,0.5868,0.7291,0.0833,0.0323,6.5027,81.7575,0.0527,0.0,9.0234,1.2322
L7-0393,TX-CB-4,Listeria,L. welshimeri,178,17,2733024,36.23,373372,69.3152,PRJNA561882,SRR11344105,JAASWR000000000,L8,TX,34.1015,-99.7479,411.09,0.2078,0.1754,2.3559,7.918,3.0014,2.1736,3554.4516,0.0282,0.328,344.5203,336.6672,11.1067,0.02,28.3791,15.203,14.3848,0.1839,15.15,11.6565,-0.1839,3.6635,0.8108,0.8005,0.0867,0.0424,6.1634,80.1175,0.0521,0.0,10.4766,1.45
L7-0399,IL-PM-1,Listeria,L. monocytogenes,107,15,2846562,38.03,486828,55.6144,PRJNA561882,SRR10019196,VTJO00000000,L1,IL,38.9732,-90.5425,144.05,0.2737,0.2045,3.6563,7.765,4.7784,3.675,16215.41,0.1603,1.0625,305.9864,441.0975,28.2807,0.0517,41.9808,37.0711,15.5828,1.8471,65.3,2.3716,-6.5271,3.942,13.6613,3.981,1.9575,0.8717,33.757,0.0325,0.0627,4.6991,24.365,16.6122
L7-0401,IL-PM-1,Listeria,L. seeligeri,24,25,2868978,37.19,384427,36.6899,PRJNA561882,SRR11344104,JAASWQ000000000,L9,IL,38.9732,-90.5425,144.05,0.2737,0.2045,3.6563,7.765,4.7784,3.675,16215.41,0.1603,1.0625,305.9864,441.0975,28.2807,0.0517,41.9808,37.0711,15.5828,1.8471,65.3,2.3716,-6.5271,3.942,13.6613,3.981,1.9575,0.8717,33.757,0.0325,0.0627,4.6991,24.365,16.6122
L7-0403,IL-PM-1,Listeria,L. monocytogenes,220,15,2875342,38.05,1447653,59.645,PRJNA561882,SRR10019197,VTJN00000000,L1,IL,38.9732,-90.5425,144.05,0.2737,0.2045,3.6563,7.765,4.7784,3.675,16215.41,0.1603,1.0625,305.9864,441.0975,28.2807,0.0517,41.9808,37.0711,15.5828,1.8471,65.3,2.3716,-6.5271,3.942,13.6613,3.981,1.9575,0.8717,33.757,0.0325,0.0627,4.6991,24.365,16.6122
L7-0407,IL-PM-2,Listeria,L. monocytogenes,90,13,2806286,38.13,497500,30.6561,PRJNA561882,SRR10019198,VTJM00000000,L1,IL,38.9761,-90.5399,184.15,0.3772,0.2039,5.4896,7.744,5.4843,3.3587,16128.7994,0.1373,2.1368,173.1018,358.615,36.4115,0.0424,38.349,40.5689,12.7523,2.1597,65.3,2.3716,-6.5271,3.942,12.9301,3.7365,1.4808,0.8722,36.9807,0.0334,0.0636,4.5227,23.4379,15.942
L7-0408,IL-PM-2,Listeria,L. monocytogenes,107,16,2847720,38.02,514454,34.8553,PRJNA561882,SRR10019199,VTJL00000000,L1,IL,38.9761,-90.5399,184.15,0.3772,0.2039,5.4896,7.744,5.4843,3.3587,16128.7994,0.1373,2.1368,173.1018,358.615,36.4115,0.0424,38.349,40.5689,12.7523,2.1597,65.3,2.3716,-6.5271,3.942,12.9301,3.7365,1.4808,0.8722,36.9807,0.0334,0.0636,4.5227,23.4379,15.942
L7-0410,IL-PM-2,Listeria,L. monocytogenes,221,21,2829855,38.06,297369,37.2597,PRJNA561882,SRR10019200,VTJK00000000,L1,IL,38.9761,-90.5399,184.15,0.3772,0.2039,5.4896,7.744,5.4843,3.3587,16128.7994,0.1373,2.1368,173.1018,358.615,36.4115,0.0424,38.349,40.5689,12.7523,2.1597,65.3,2.3716,-6.5271,3.942,12.9301,3.7365,1.4808,0.8722,36.9807,0.0334,0.0636,4.5227,23.4379,15.942
L7-0411,IL-PM-2,Listeria,L. monocytogenes,222,11,2845241,38.02,1456564,48.4312,PRJNA561882,SRR10019201,VTJJ00000000,L1,IL,38.9761,-90.5399,184.15,0.3772,0.2039,5.4896,7.744,5.4843,3.3587,16128.7994,0.1373,2.1368,173.1018,358.615,36.4115,0.0424,38.349,40.5689,12.7523,2.1597,65.3,2.3716,-6.5271,3.942,12.9301,3.7365,1.4808,0.8722,36.9807,0.0334,0.0636,4.5227,23.4379,15.942
L7-0415,IL-PM-3,Listeria,L. monocytogenes,90,15,2842453,38.07,517187,68.6872,PRJNA561882,SRR10019202,VTJI00000000,L1,IL,38.974,-90.5396,169.59,0.3715,0.3969,7.8419,7.687,7.3293,3.1391,12492.2137,0.0687,1.4036,255.8437,570.6642,58.0626,0.0313,44.7435,33.3147,15.9108,2.0085,65.3,2.3716,-6.5271,3.942,13.1058,4.008,1.6452,0.8725,35.3061,0.0451,0.0632,4.8202,24.0384,16.0955
L7-0419,IL-PM-3,Listeria,L. monocytogenes,223,10,2847530,38.05,497866,149.785,PRJNA514286,SRR9845434,AAJADN000000000,L1,IL,38.974,-90.5396,169.59,0.3715,0.3969,7.8419,7.687,7.3293,3.1391,12492.2137,0.0687,1.4036,255.8437,570.6642,58.0626,0.0313,44.7435,33.3147,15.9108,2.0085,65.3,2.3716,-6.5271,3.942,13.1058,4.008,1.6452,0.8725,35.3061,0.0451,0.0632,4.8202,24.0384,16.0955
L7-0421,IL-PM-4,Listeria,L. monocytogenes,90,14,2834759,38.07,517396,36.2711,PRJNA561882,SRR10019204,VTJH00000000,L1,IL,38.984,-90.5204,239.73,0.377,0.3827,6.4301,7.655,6.1933,2.2544,7378.3499,0.0855,1.0152,256.6073,671.4162,39.1802,0.0229,57.3713,39.784,17.7843,3.6026,65.3,2.3716,-6.5271,3.942,12.2325,2.8503,1.2783,0.825,43.4052,0.0258,0.1226,3.9459,20.3458,14.9686
L7-0427,SC-AJ-1,Listeria,L. monocytogenes,57,22,3027124,37.76,275698,40.8925,PRJNA561882,SRR10019205,VTJG00000000,L2,SC,34.8386,-80.8052,164.93,0.2569,0.1995,4.3468,4.908,11.2404,132.3991,786.2843,0.1375,27.3511,151.2556,360.3217,81.7427,0.0224,51.3033,3.7942,21.5375,3.0782,156.8,10.8474,0.62,3.5075,1.7521,5.2714,2.0286,0.1475,70.6406,2.6066,3.5701,10.2569,1.9948,1.7313
L7-0435,SC-AJ-2,Listeria,L. booriae,S5034,104,3671426,41.59,435646,129.791,PRJNA561882,SRR11344103,JAARWW000000000,L12,SC,34.8371,-80.8031,154.63,0.1344,0.1363,2.2766,5.544,4.6462,18.4579,1090.81,0.0302,2.7706,45.9714,210.9073,67.6938,0.0114,32.2255,4.4981,8.4023,1.3726,156.8,10.8474,0.62,3.5075,1.6395,5.092,1.9629,0.1402,70.903,2.6064,3.5446,10.3441,1.9992,1.7681
L7-0437,SC-AJ-3,Listeria,L. monocytogenes,224,48,3182705,37.79,373728,49.7428,PRJNA561882,SRR10019206,VTJF00000000,L1,SC,34.8398,-80.8025,172.08,0.2356,0.3349,9.8477,4.278,15.7064,110.342,935.8492,0.0513,22.8133,135.4113,180.6024,103.5457,0.0198,41.8224,4.5735,25.7641,1.8642,156.8,10.8474,0.62,3.5075,1.7359,5.2367,1.9578,0.149,70.787,2.5656,3.5623,10.3959,1.9166,1.6933
L7-0443,SC-AJ-4,Listeria,L. monocytogenes,57,19,2940593,37.81,285593,140.077,PRJNA514286,SRR9845431,AAJADK000000000,L2,SC,34.847,-80.807,158.8,0.3003,0.377,7.0595,5.453,19.6359,94.1181,1269.5727,0.1775,47.3339,165.0463,369.3141,111.8508,0.0237,51.062,6.1985,25.287,2.2622,156.8,10.8474,0.62,3.5075,2.3127,5.5797,2.4353,0.1598,69.7048,2.5963,4.0735,9.7547,1.7911,1.5921
L7-0451,SC-AJ-5,Listeria,L. monocytogenes,57,14,2885688,37.89,713383,50.8465,PRJNA561882,SRR10019207,VTJE00000000,L2,SC,34.846,-80.8044,160.54,0.2009,0.2066,3.2554,6.189,7.1452,6.2104,2363.5117,0.0233,1.3959,71.5243,561.6306,52.9678,0.0169,38.5493,15.2441,8.6197,2.1256,156.8,10.8474,0.62,3.5075,2.0416,5.5868,2.2796,0.1582,70.1381,2.5925,3.7263,10.0539,1.8471,1.5759
L7-0459,AL-CSP-3,Listeria,L. booriae,S5035,22,3560257,41.98,443909,129.292,PRJNA561882,SRR11344102,JAARWV000000000,L12,AL,33.4414,-85.8395,355.09,0.6326,0.2179,6.9944,4.788,14.0675,278.0488,419.9945,0.2473,38.336,59.9907,66.2614,77.7777,0.0406,40.6036,5.5241,12.5867,2.3151,178.2,9.9519,-1.0648,3.2556,0.2372,2.5205,0.0439,0.0134,91.5174,1.7424,1.8761,1.5894,0.0,0.4597
L7-0463,AL-CSP-4,Listeria,L. monocytogenes,202,14,2884086,37.86,420703,38.208,PRJNA561882,SRR10019208,VTJD00000000,L2,AL,33.4439,-85.8414,348.56,0.9942,0.3702,12.0164,4.161,61.09,248.6777,348.9973,0.0808,18.5318,73.0408,71.1784,100.8304,0.0398,46.4929,7.0866,25.4372,2.7015,178.2,9.9519,-1.0648,3.2556,0.241,2.7369,0.0575,0.0143,91.5785,1.6689,1.8459,1.4438,0.0,0.4133
L7-0466,AL-CSP-4,Listeria,L. monocytogenes,57,18,2916942,37.79,518412,38.6704,PRJNA561882,SRR10019209,VTJC00000000,L2,AL,33.4439,-85.8414,348.56,0.9942,0.3702,12.0164,4.161,61.09,248.6777,348.9973,0.0808,18.5318,73.0408,71.1784,100.8304,0.0398,46.4929,7.0866,25.4372,2.7015,178.2,9.9519,-1.0648,3.2556,0.241,2.7369,0.0575,0.0143,91.5785,1.6689,1.8459,1.4438,0.0,0.4133
L7-0471,AL-CSP-5,Listeria,L. monocytogenes,57,15,2905635,37.84,571054,47.8342,PRJNA561882,SRR10019210,VTJB00000000,L2,AL,33.4517,-85.85,319.69,0.3294,0.1891,5.2622,4.508,7.3714,59.9707,263.2588,0.0583,32.2823,137.3742,71.5194,41.4951,0.0194,146.1116,8.4076,26.8569,3.7405,178.2,9.9519,-1.0648,3.2556,0.2124,2.3745,0.035,0.0155,92.2608,1.6685,1.8456,1.2991,0.0036,0.285
L7-0478,AL-CSP-5,Listeria,L. cossartiae,225,10,2750589,38.88,1409620,40.9327,PRJNA561882,SRR11344101,JAASWP000000000,L5,AL,33.4517,-85.85,319.69,0.3294,0.1891,5.2622,4.508,7.3714,59.9707,263.2588,0.0583,32.2823,137.3742,71.5194,41.4951,0.0194,146.1116,8.4076,26.8569,3.7405,178.2,9.9519,-1.0648,3.2556,0.2124,2.3745,0.035,0.0155,92.2608,1.6685,1.8456,1.2991,0.0036,0.285
L7-0479,DE-WC-1,Listeria,L. monocytogenes,57,17,2993237,37.75,547834,34.4917,PRJNA561882,SRR10019211,VTJA00000000,L2,DE,39.7221,-75.7452,103.34,0.1929,0.2888,3.6723,5.275,5.2833,57.8511,1355.3598,0.0711,8.4586,96.6511,211.2543,42.3488,0.019,37.7403,6.3229,13.1802,1.6818,154.775,5.5935,-3.0594,3.9721,0.1329,22.9639,21.7908,0.1043,33.3605,1.3902,0.2843,13.1409,3.8296,3.0026
L7-0480,DE-WC-1,Listeria,L. welshimeri,226,38,2836583,36.13,198179,50.224,PRJNA561882,SRR11344100,JAASWO000000000,L8,DE,39.7221,-75.7452,103.34,0.1929,0.2888,3.6723,5.275,5.2833,57.8511,1355.3598,0.0711,8.4586,96.6511,211.2543,42.3488,0.019,37.7403,6.3229,13.1802,1.6818,154.775,5.5935,-3.0594,3.9721,0.1329,22.9639,21.7908,0.1043,33.3605,1.3902,0.2843,13.1409,3.8296,3.0026
L7-0481,DE-WC-2,Listeria,L. welshimeri,27,17,2813207,36.21,521694,39.226,PRJNA561882,SRR11344099,JAASWN000000000,L8,DE,39.7226,-75.7402,79.8,0.2645,0.2261,2.6841,6.062,5.4784,43.2503,1185.3194,0.0526,4.0256,103.0839,352.2144,24.9337,0.0188,32.0529,3.4287,10.7206,0.6323,154.775,5.5935,-3.0594,3.9721,0.1645,22.3127,22.3486,0.0623,33.5957,1.0573,0.2837,13.0514,3.8197,3.304
L7-0486,DE-WC-2,Listeria,L. welshimeri,21,36,2839016,36.1,182179,63.8995,PRJNA561882,SRR11344098,JAASWM000000000,L8,DE,39.7226,-75.7402,79.8,0.2645,0.2261,2.6841,6.062,5.4784,43.2503,1185.3194,0.0526,4.0256,103.0839,352.2144,24.9337,0.0188,32.0529,3.4287,10.7206,0.6323,154.775,5.5935,-3.0594,3.9721,0.1645,22.3127,22.3486,0.0623,33.5957,1.0573,0.2837,13.0514,3.8197,3.304
L7-0487,DE-WC-3,Listeria,L. monocytogenes,59,15,2939178,37.78,559830,32.2504,PRJNA561882,SRR10019212,VTIZ00000000,L2,DE,39.7192,-75.7431,103.5,0.0916,0.0531,0.8776,4.936,2.0856,144.1848,183.9969,0.0834,22.5082,98.7832,54.9733,25.4322,0.0239,22.4606,4.985,12.8008,0.5623,154.775,5.5935,-3.0594,3.9721,0.1584,23.0624,23.2452,0.1351,32.4222,1.0894,0.296,12.2445,4.1021,3.2447
L7-0489,DE-WC-3,Listeria,L. welshimeri,17,45,2841165,36.22,117865,42.2268,PRJNA561882,SRR11344255,JAASWL000000000,L8,DE,39.7192,-75.7431,103.5,0.0916,0.0531,0.8776,4.936,2.0856,144.1848,183.9969,0.0834,22.5082,98.7832,54.9733,25.4322,0.0239,22.4606,4.985,12.8008,0.5623,154.775,5.5935,-3.0594,3.9721,0.1584,23.0624,23.2452,0.1351,32.4222,1.0894,0.296,12.2445,4.1021,3.2447
L7-0493,DE-WC-5,Listeria,L. welshimeri,17,43,2841552,36.22,135292,41.4905,PRJNA561882,SRR11344158,JAASWK000000000,L8,DE,39.7161,-75.7405,98.69,0.1781,0.1471,1.7451,5.1,4.4779,67.7734,749.228,0.1258,8.8748,123.9737,194.7547,34.3225,0.0227,35.9437,4.3899,15.7637,1.7621,154.775,5.5935,-3.0594,3.9721,0.1811,22.9086,25.2222,0.1547,31.7012,0.9972,0.2857,11.7543,3.1468,3.6483
L7-0495,CA-NM-3,Listeria,L. monocytogenes,227,60,3097343,37.61,101660,161.327,PRJNA514286,SRR9845432,AAJADM000000000,L2,CA,36.987,-121.9083,31.4,0.2117,0.3222,7.8669,5.414,9.3044,11.284,3116.9074,0.0094,4.1994,264.5028,736.8059,29.5832,0.0154,68.1691,15.0023,8.4255,2.919,,,,,22.9109,13.281,13.4555,0.1331,43.198,2.0458,4.0009,0.1578,0.5354,0.2817
L7-0503,PA-BE-1,Listeria,L. marthii,228,14,2801187,38.7,527603,38.6439,PRJNA561882,SRR11344157,JAASWJ000000000,L4,PA,40.9029,-77.2826,516.22,0.3103,0.2094,8.3365,7.209,6.3582,11.1579,42717.7726,0.1535,7.1874,94.5002,250.7544,57.2453,0.0962,45.705,11.4152,36.2102,2.5567,136.225,0.0377,-9.1029,4.0403,0.2682,3.5437,0.2886,0.0321,86.4171,0.0957,0.2153,3.6799,4.7223,0.737
L7-0504,PA-BE-1,Listeria,L. marthii,229,16,2729829,38.76,482141,75.6558,PRJNA561882,SRR11344156,JAASWI000000000,L4,PA,40.9029,-77.2826,516.22,0.3103,0.2094,8.3365,7.209,6.3582,11.1579,42717.7726,0.1535,7.1874,94.5002,250.7544,57.2453,0.0962,45.705,11.4152,36.2102,2.5567,136.225,0.0377,-9.1029,4.0403,0.2682,3.5437,0.2886,0.0321,86.4171,0.0957,0.2153,3.6799,4.7223,0.737
L7-0509,PA-BE-2,Listeria,L. booriae,S5036,47,3486412,42.04,278040,134.425,PRJNA561882,SRR11344155,JAARWU000000000,L12,PA,40.907,-77.2809,441.96,0.2226,0.1477,3.0585,4.354,4.7361,152.9064,94.0661,0.1075,62.8322,62.9105,23.1405,30.8818,0.0218,26.531,7.2952,14.4243,1.7123,136.225,0.0377,-9.1029,4.0403,0.2479,3.5774,0.2987,0.0317,86.4517,0.0861,0.2026,3.633,4.7099,0.761
L7-0510,PA-BE-2,Listeria,L. booriae,S5037,32,3493443,41.99,345859,47.3118,PRJNA561882,SRR11344154,JAASWH000000000,L12,PA,40.907,-77.2809,441.96,0.2226,0.1477,3.0585,4.354,4.7361,152.9064,94.0661,0.1075,62.8322,62.9105,23.1405,30.8818,0.0218,26.531,7.2952,14.4243,1.7123,136.225,0.0377,-9.1029,4.0403,0.2479,3.5774,0.2987,0.0317,86.4517,0.0861,0.2026,3.633,4.7099,0.761
L7-0514,PA-BE-2,Listeria,L. booriae,S5033,13,3429465,42.03,639244,197.771,PRJNA561882,SRR11344153,JAARWT000000000,L12,PA,40.907,-77.2809,441.96,0.2226,0.1477,3.0585,4.354,4.7361,152.9064,94.0661,0.1075,62.8322,62.9105,23.1405,30.8818,0.0218,26.531,7.2952,14.4243,1.7123,136.225,0.0377,-9.1029,4.0403,0.2479,3.5774,0.2987,0.0317,86.4517,0.0861,0.2026,3.633,4.7099,0.761
L7-0515,PA-BE-3,Listeria,L. marthii,230,13,2695057,38.77,463037,36.4076,PRJNA561882,SRR11344152,JAASWG000000000,L4,PA,40.9089,-77.2832,461.56,0.217,0.1648,2.8427,4.703,6.355,103.9139,379.3888,0.1099,47.3734,40.4724,35.7744,46.965,0.0232,26.1293,4.1498,11.4627,1.6319,136.225,0.0377,-9.1029,4.0403,0.2332,3.6338,0.2875,0.0317,86.4958,0.1007,0.2097,3.6942,4.5444,0.769
L7-0519,PA-BE-3,Listeria,L. booriae,S5038,29,3502926,42.07,262525,84.8207,PRJNA561882,SRR11344151,JAARWS000000000,L12,PA,40.9089,-77.2832,461.56,0.217,0.1648,2.8427,4.703,6.355,103.9139,379.3888,0.1099,47.3734,40.4724,35.7744,46.965,0.0232,26.1293,4.1498,11.4627,1.6319,136.225,0.0377,-9.1029,4.0403,0.2332,3.6338,0.2875,0.0317,86.4958,0.1007,0.2097,3.6942,4.5444,0.769
L7-0520,PA-BE-3,Listeria,L. booriae,S5036,45,3488953,42.05,313930,97.6527,PRJNA561882,SRR11344150,JAASWF000000000,L12,PA,40.9089,-77.2832,461.56,0.217,0.1648,2.8427,4.703,6.355,103.9139,379.3888,0.1099,47.3734,40.4724,35.7744,46.965,0.0232,26.1293,4.1498,11.4627,1.6319,136.225,0.0377,-9.1029,4.0403,0.2332,3.6338,0.2875,0.0317,86.4958,0.1007,0.2097,3.6942,4.5444,0.769
L7-0521,PA-BE-4,Listeria,L. monocytogenes,57,27,2900052,37.83,503409,36.8709,PRJNA561882,SRR10019213,VTIY00000000,L2,PA,40.9103,-77.2819,440.48,0.5304,0.4212,6.9677,7.251,13.1222,7.1611,13507.7659,0.1715,2.8028,138.4975,245.2523,119.8212,0.0425,43.6614,18.0922,21.5285,1.8042,136.225,0.0377,-9.1029,4.0403,0.2345,3.7902,0.2914,0.0317,86.3852,0.0922,0.2087,3.6363,4.5665,0.7635
L7-0523,PA-BE-4,Listeria,L. marthii,231,13,2733056,38.73,471819,31.5225,PRJNA561882,SRR11344148,JAASWE000000000,L4,PA,40.9103,-77.2819,440.48,0.5304,0.4212,6.9677,7.251,13.1222,7.1611,13507.7659,0.1715,2.8028,138.4975,245.2523,119.8212,0.0425,43.6614,18.0922,21.5285,1.8042,136.225,0.0377,-9.1029,4.0403,0.2345,3.7902,0.2914,0.0317,86.3852,0.0922,0.2087,3.6363,4.5665,0.7635
L7-0527,PA-BE-4,Listeria,L. booriae,S5018,16,3527062,42.0,547019,40.0926,PRJNA561882,SRR11344147,JAASWD000000000,L12,PA,40.9103,-77.2819,440.48,0.5304,0.4212,6.9677,7.251,13.1222,7.1611,13507.7659,0.1715,2.8028,138.4975,245.2523,119.8212,0.0425,43.6614,18.0922,21.5285,1.8042,136.225,0.0377,-9.1029,4.0403,0.2345,3.7902,0.2914,0.0317,86.3852,0.0922,0.2087,3.6363,4.5665,0.7635
L7-0529,PA-BE-5,Listeria,L. marthii,168,14,2770352,38.61,481057,68.5587,PRJNA561882,SRR11344146,JAASWC000000000,L4,PA,40.9163,-77.2842,567.58,1.5686,1.2813,28.3861,4.283,62.2122,23.5061,2267.5107,0.2561,7.4698,315.0674,200.9872,116.9484,0.0424,122.9375,112.7765,61.5621,13.6206,136.225,0.0377,-9.1029,4.0403,0.2113,3.6684,0.272,0.033,86.7423,0.0968,0.2105,3.7536,4.2609,0.7511
L7-0530,PA-BE-5,Listeria,L. marthii,232,18,2748682,38.67,479273,56.1201,PRJNA561882,SRR11344145,JAASWB000000000,L4,PA,40.9163,-77.2842,567.58,1.5686,1.2813,28.3861,4.283,62.2122,23.5061,2267.5107,0.2561,7.4698,315.0674,200.9872,116.9484,0.0424,122.9375,112.7765,61.5621,13.6206,136.225,0.0377,-9.1029,4.0403,0.2113,3.6684,0.272,0.033,86.7423,0.0968,0.2105,3.7536,4.2609,0.7511
L7-0535,PA-SGL-1,Listeria,L. monocytogenes,79,25,3219170,37.56,488033,35.8653,PRJNA561882,SRR10019215,VTIX00000000,L1,PA,40.7805,-77.9518,379.92,0.2317,0.2671,3.9088,6.211,4.7247,11.9449,1963.4151,0.0324,1.4522,101.2678,119.6678,44.5206,0.0143,27.9339,6.6889,10.412,1.2807,143.925,-0.4587,-7.841,3.9847,0.0625,8.0342,7.2318,0.1332,59.1103,0.3593,0.3103,8.6411,15.9937,0.1236
L7-0543,PA-SGL-2,Listeria,L. monocytogenes,57,15,2867680,37.91,522850,41.2132,PRJNA561882,SRR10019216,VTIW00000000,L2,PA,40.7742,-77.9605,373.28,0.1713,0.1391,2.3438,7.169,2.5603,44.02,2232.8202,0.0508,2.5594,62.1151,36.6257,20.5183,0.0157,24.5511,2.9368,6.1284,0.2411,143.925,-0.4587,-7.841,3.9847,0.059,7.3756,6.2599,0.1325,60.7549,0.3084,0.2748,8.0536,16.6654,0.1159
L7-0545,PA-SGL-2,Listeria,L. welshimeri,19,20,2716866,36.26,387298,44.6255,PRJNA561882,SRR11344144,JAASWA000000000,L8,PA,40.7742,-77.9605,373.28,0.1713,0.1391,2.3438,7.169,2.5603,44.02,2232.8202,0.0508,2.5594,62.1151,36.6257,20.5183,0.0157,24.5511,2.9368,6.1284,0.2411,143.925,-0.4587,-7.841,3.9847,0.059,7.3756,6.2599,0.1325,60.7549,0.3084,0.2748,8.0536,16.6654,0.1159
L7-0546,PA-SGL-2,Listeria,L. monocytogenes,62,14,2886323,38.06,559576,60.8833,PRJNA561882,SRR10019217,VTIV00000000,L1,PA,40.7742,-77.9605,373.28,0.1713,0.1391,2.3438,7.169,2.5603,44.02,2232.8202,0.0508,2.5594,62.1151,36.6257,20.5183,0.0157,24.5511,2.9368,6.1284,0.2411,143.925,-0.4587,-7.841,3.9847,0.059,7.3756,6.2599,0.1325,60.7549,0.3084,0.2748,8.0536,16.6654,0.1159
L7-0551,PA-SGL-3,Listeria,L. monocytogenes,62,15,2886521,38.05,510838,44.5421,PRJNA561882,SRR10019218,VTIU00000000,L1,PA,40.7756,-77.962,376.04,0.2352,0.0767,1.5788,5.034,2.7139,229.5257,253.8711,0.2005,20.7513,36.4326,19.2841,43.9778,0.0369,27.478,5.3024,15.0785,0.5325,143.925,-0.4587,-7.841,3.9847,0.0594,7.3403,6.2547,0.1258,60.9075,0.3089,0.2779,8.2383,16.3702,0.117
L7-0559,NY-TS-1,Listeria,L. seeligeri,4,13,2809262,37.2,465151,49.5377,PRJNA561882,SRR11344143,JAASVZ000000000,L10,NY,42.6525,-74.0142,329.92,0.189,0.2492,4.806,7.434,6.4344,6.6812,10146.1242,0.0413,2.1361,131.8759,228.7214,30.3621,0.0182,42.7839,5.3541,12.486,0.752,134.75,-0.7071,-9.9368,4.7198,0.9944,6.4535,3.373,0.2059,60.44,0.3094,2.4779,16.3698,0.9608,8.4153
L7-0567,NY-TS-3,Listeria,L. seeligeri,3,16,2887085,37.25,528333,59.2157,PRJNA561882,SRR11344142,JAASVY000000000,L10,NY,42.6519,-74.0086,358.33,0.2053,0.2894,5.7226,6.038,8.37,20.2085,3185.6895,0.0721,5.2556,45.2492,153.2888,42.3101,0.0012,41.1218,5.2327,11.6007,1.7765,134.75,-0.7071,-9.9368,4.7198,0.9894,6.6957,3.4322,0.1981,59.8942,0.3118,2.4565,16.4773,0.9784,8.5664
L7-0573,NY-TS-4,Listeria,L. seeligeri,4,15,2807980,37.2,309949,43.1819,PRJNA561882,SRR11344141,JAARWR000000000,L10,NY,42.6485,-74.0039,353.21,0.1784,0.1783,3.5919,5.499,5.3623,58.8924,1831.6709,0.0054,32.8971,53.6425,97.7371,25.5605,0.0064,35.3951,4.0731,10.1477,0.8536,134.75,-0.7071,-9.9368,4.7198,0.9866,6.5812,3.4338,0.2128,59.9544,0.3211,2.4478,16.3099,0.994,8.7583
L7-0579,NY-TS-5,Listeria,L. seeligeri,4,16,2809212,37.2,424512,39.8949,PRJNA561882,SRR11344140,JAASVX000000000,L10,NY,42.6496,-73.9973,340.58,0.2733,0.3068,5.264,6.047,7.8287,25.102,3314.5724,0.0214,5.6346,121.3301,175.884,34.4453,0.005,41.0543,8.2777,11.4882,1.6273,119.225,0.6726,-8.5513,4.7509,0.9587,6.7981,3.6356,0.2247,59.1111,0.2924,2.2177,16.6718,0.9918,9.0981
L7-0580,NY-TS-5,Listeria,L. seeligeri,1,43,2899413,37.16,117978,30.6874,PRJNA561882,SRR11344139,JAASVW000000000,L10,NY,42.6496,-73.9973,340.58,0.2733,0.3068,5.264,6.047,7.8287,25.102,3314.5724,0.0214,5.6346,121.3301,175.884,34.4453,0.005,41.0543,8.2777,11.4882,1.6273,119.225,0.6726,-8.5513,4.7509,0.9587,6.7981,3.6356,0.2247,59.1111,0.2924,2.2177,16.6718,0.9918,9.0981
L7-0586,NY-TS-5,Listeria,L. seeligeri,3,18,2886211,37.22,478952,50.1254,PRJNA561882,SRR11344137,JAASVV000000000,L10,NY,42.6496,-73.9973,340.58,0.2733,0.3068,5.264,6.047,7.8287,25.102,3314.5724,0.0214,5.6346,121.3301,175.884,34.4453,0.005,41.0543,8.2777,11.4882,1.6273,119.225,0.6726,-8.5513,4.7509,0.9587,6.7981,3.6356,0.2247,59.1111,0.2924,2.2177,16.6718,0.9918,9.0981
